,loinc_num,long_common_name,component,system,property,qname,f_component_match,f_system_match,f_property_match,f_long_name_match,label,stage1_prob,stage1_logit
145,15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
146,35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
147,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
148,26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,white blood cells count,1,1,1,1,1,0.9194228612616352,2.4345311776792378
149,925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,white blood cells count,0,0,0,1,0,0.028993607949855536,-3.511257661056342
150,1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
151,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
152,1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
153,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
154,18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
155,14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,white blood cells count,0,1,0,1,0,0.13410504785994026,-1.8651401667417038
156,934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,white blood cells count,0,0,1,1,0,0.05794713638509016,-2.7885302381943893
157,4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,white blood cells count,0,0,0,0,0,0.04408013700809949,-3.076664811206528
